Price,Area,MaintenanceStaff,Gymnasium,SwimmingPool,ClubHouse,CarParking,LiftAvailable,City,No_of_Bedrooms,Security,Children_playarea
56.0,1325,0,0,0,0,0,1,Hyderabad,3,0,0
110.0,1717,0,0,0,0,0,0,Hyderabad,3,0,0
120.0,2400,0,0,0,0,0,0,Hyderabad,3,0,0
69.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
39.0,1000,0,0,0,0,0,0,Hyderabad,3,0,0
40.0,1200,0,0,0,0,0,1,Hyderabad,2,0,0
44.6,1040,0,0,0,0,0,1,Hyderabad,2,0,1
73.0,1181,0,0,0,0,0,1,Hyderabad,2,0,0
105.0,2100,0,0,0,0,0,0,Hyderabad,3,0,0
120.0,1550,0,1,1,1,0,1,Hyderabad,3,1,1
77.0,1280,0,0,0,0,0,1,Hyderabad,3,0,0
124.0,1945,0,0,0,0,0,0,Hyderabad,3,0,0
282.0,3500,0,1,1,1,1,1,Hyderabad,4,1,1
37.0,1000,0,1,1,1,1,1,Hyderabad,2,1,1
80.0,1200,0,0,0,0,0,1,Hyderabad,2,0,0
177.0,2729,0,1,1,0,0,1,Hyderabad,4,0,0
70.0,1500,0,0,0,0,0,1,Hyderabad,3,0,1
194.0,2165,0,1,1,1,1,1,Hyderabad,3,0,1
30.0,1050,0,0,0,0,0,1,Hyderabad,2,0,1
30.0,1150,0,0,0,0,0,1,Hyderabad,2,0,1
85.0,1822,0,0,0,0,0,1,Hyderabad,3,0,0
65.0,1270,0,0,0,0,0,1,Hyderabad,1,0,0
45.0,1300,0,1,0,0,0,1,Hyderabad,1,0,0
85.0,1600,0,0,0,0,0,1,Hyderabad,3,0,0
145.0,1818,0,1,1,1,1,1,Hyderabad,3,1,1
80.0,1282,0,1,1,1,0,1,Hyderabad,2,0,1
86.0,1830,0,1,1,0,0,1,Hyderabad,3,0,1
90.7,1815,0,1,1,1,1,1,Hyderabad,3,1,1
67.0,1400,0,0,0,0,0,1,Hyderabad,1,0,0
63.4,1220,0,1,1,1,1,1,Hyderabad,2,1,1
85.8,1650,0,1,1,1,1,1,Hyderabad,3,1,1
87.4,1680,0,1,1,1,1,1,Hyderabad,3,1,1
80.9,1555,0,1,1,1,1,1,Hyderabad,3,1,1
87.6,1685,0,1,1,1,1,1,Hyderabad,3,1,1
79.0,1520,0,1,1,1,1,1,Hyderabad,3,1,1
63.7,1225,0,1,1,1,1,1,Hyderabad,2,1,1
93.3,1795,0,1,1,1,1,1,Hyderabad,3,1,1
74.6,1435,0,1,1,1,1,1,Hyderabad,2,1,1
74.4,1430,0,1,1,1,1,1,Hyderabad,2,1,1
65.8,1265,0,1,1,1,1,1,Hyderabad,2,1,1
104.0,2080,1,1,1,0,1,1,Hyderabad,3,1,1
104.0,2092,1,1,1,0,1,1,Hyderabad,3,1,1
68.5,1370,1,1,1,0,1,1,Hyderabad,2,1,1
111.0,2232,1,1,1,0,1,1,Hyderabad,3,1,1
103.0,2063,1,1,1,0,1,1,Hyderabad,3,1,1
70.0,1400,1,1,1,0,1,1,Hyderabad,2,1,1
93.2,1865,1,1,1,0,1,1,Hyderabad,3,1,1
113.0,2270,1,1,1,0,1,1,Hyderabad,3,1,1
94.8,1896,1,1,1,0,1,1,Hyderabad,3,1,1
256.0,3031,0,1,1,1,1,1,Hyderabad,4,1,1
85.1,1702,0,1,0,0,0,0,Hyderabad,3,0,1
67.5,1350,0,1,0,0,0,0,Hyderabad,2,0,1
76.2,1525,0,1,0,0,0,0,Hyderabad,3,0,1
61.2,1225,0,1,0,0,0,0,Hyderabad,2,0,1
86.4,1728,0,1,0,0,0,0,Hyderabad,3,0,1
86.2,1725,0,1,0,0,0,0,Hyderabad,3,0,1
65.0,1300,0,1,0,0,0,0,Hyderabad,2,0,1
80.0,1600,0,1,0,0,0,0,Hyderabad,3,0,1
60.0,1200,0,1,0,0,0,0,Hyderabad,2,0,1
99.0,1640,0,0,0,0,0,1,Hyderabad,3,0,1
82.3,1830,0,0,0,0,0,1,Hyderabad,3,0,0
82.6,1835,0,0,0,0,0,1,Hyderabad,3,0,1
71.0,1570,0,1,1,1,0,0,Hyderabad,3,1,1
99.0,1570,0,1,1,1,0,0,Hyderabad,3,1,1
99.0,2240,0,1,1,1,0,1,Hyderabad,3,1,1
99.0,2240,0,1,1,1,0,0,Hyderabad,3,1,1
160.0,1895,0,1,1,1,1,1,Hyderabad,3,0,0
80.0,1600,0,0,0,0,0,0,Hyderabad,3,0,0
56.5,1140,0,0,0,0,1,1,Hyderabad,2,0,1
57.0,1150,0,0,0,0,1,1,Hyderabad,2,0,1
75.9,1530,0,0,0,0,1,1,Hyderabad,3,0,1
60.0,1230,0,0,0,0,0,1,Hyderabad,2,0,0
60.0,1300,0,0,0,0,0,0,Hyderabad,2,0,0
31.5,1050,0,1,1,1,0,1,Hyderabad,2,0,1
63.2,1665,0,1,1,1,0,1,Hyderabad,3,0,1
47.5,1250,0,0,0,0,0,0,Hyderabad,2,0,0
47.5,1250,0,1,1,1,0,1,Hyderabad,2,0,1
81.7,1900,0,0,0,0,0,0,Hyderabad,3,0,0
81.7,1900,0,1,1,1,0,1,Hyderabad,3,0,1
78.0,1815,0,1,1,1,0,1,Hyderabad,2,0,1
53.7,1250,0,1,1,1,0,1,Hyderabad,2,0,0
74.0,1530,0,0,0,0,0,1,Hyderabad,3,0,0
74.0,1530,0,0,0,0,0,1,Hyderabad,3,0,0
89.0,1535,1,1,1,1,1,1,Hyderabad,3,1,1
202.0,3380,1,1,1,1,1,1,Hyderabad,4,1,1
202.0,3380,1,1,1,1,1,1,Hyderabad,4,1,1
108.0,1875,1,1,1,1,1,1,Hyderabad,3,1,1
108.0,1875,1,1,1,1,1,1,Hyderabad,3,1,1
152.0,2540,1,1,1,1,1,1,Hyderabad,3,1,1
152.0,2540,1,1,1,1,1,1,Hyderabad,3,1,1
152.0,2630,1,1,1,1,1,1,Hyderabad,4,1,1
152.0,2630,1,1,1,1,1,1,Hyderabad,4,1,1
472.0,4500,0,0,0,0,0,0,Hyderabad,4,0,0
215.0,3380,1,1,1,1,1,1,Hyderabad,4,1,1
120.0,2700,0,0,0,0,0,1,Hyderabad,3,0,0
100.0,1792,0,1,1,1,1,1,Hyderabad,3,1,0
95.0,1673,0,1,1,1,1,1,Hyderabad,3,1,0
107.0,1665,1,1,1,1,1,1,Hyderabad,3,1,1
107.0,1640,1,1,1,1,1,1,Hyderabad,3,1,1
107.0,1640,1,1,1,1,1,1,Hyderabad,3,1,1
115.0,1665,0,0,0,0,0,1,Hyderabad,3,0,1
170.0,2200,0,0,0,0,0,0,Hyderabad,3,0,0
40.0,1170,0,0,0,0,0,0,Hyderabad,2,0,0
40.0,1170,0,0,0,0,0,0,Hyderabad,2,0,0
85.0,1600,0,0,0,0,0,1,Hyderabad,4,0,0
86.0,1644,0,0,0,0,0,0,Hyderabad,3,0,0
86.0,1644,0,0,0,0,0,0,Hyderabad,3,0,0
89.0,1687,0,0,0,0,0,0,Hyderabad,3,0,0
86.0,1650,0,0,0,0,0,0,Hyderabad,3,0,0
83.0,1554,0,0,0,0,0,0,Hyderabad,3,0,0
86.0,1684,0,0,0,0,0,0,Hyderabad,3,0,0
89.0,1650,0,0,0,0,0,0,Hyderabad,3,0,0
42.0,970,0,0,0,0,0,0,Hyderabad,2,0,0
42.0,970,0,0,0,0,0,0,Hyderabad,2,0,0
100.0,2240,0,1,1,1,0,1,Hyderabad,3,1,1
39.0,1050,0,0,0,0,0,0,Hyderabad,3,0,0
100.0,2240,0,1,1,1,0,1,Hyderabad,3,0,1
99.0,2240,0,1,1,1,0,1,Hyderabad,3,1,1
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
44.0,1100,0,0,0,0,0,0,Hyderabad,2,0,0
78.4,1600,0,0,0,0,0,1,Hyderabad,3,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
44.0,1100,0,0,0,0,0,0,Hyderabad,2,0,0
86.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
68.0,1415,0,1,0,0,0,1,Hyderabad,3,0,1
185.0,1980,0,0,0,0,0,0,Hyderabad,3,0,0
44.0,1100,0,0,0,0,0,0,Hyderabad,2,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
44.0,1100,0,0,0,0,0,0,Hyderabad,2,0,0
78.4,1600,0,0,0,0,0,1,Hyderabad,3,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
44.0,1100,0,0,0,0,0,0,Hyderabad,2,0,0
86.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
58.8,1200,0,0,0,0,0,1,Hyderabad,2,0,0
44.0,1100,0,0,0,0,0,0,Hyderabad,2,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
44.0,1100,0,0,0,0,0,0,Hyderabad,2,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
99.1,1905,0,1,1,1,1,1,Hyderabad,3,1,1
100.0,1925,0,1,1,1,1,1,Hyderabad,3,1,1
61.9,1482,0,1,1,1,0,1,Hyderabad,3,0,1
38.0,1100,0,1,0,0,0,1,Hyderabad,2,0,1
115.0,1800,0,0,0,0,0,0,Hyderabad,3,0,0
120.0,1800,0,0,0,0,0,0,Hyderabad,3,0,0
46.4,1105,0,0,0,0,0,1,Hyderabad,2,0,1
46.4,1105,0,0,0,0,0,1,Hyderabad,2,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
185.0,1980,0,0,0,0,0,0,Hyderabad,3,0,0
86.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
68.0,1415,0,1,0,0,0,1,Hyderabad,3,0,1
111.0,1730,0,0,0,0,0,0,Hyderabad,3,0,0
44.0,1100,0,1,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,1,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,0,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,0,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,1,0,1,0,1,Hyderabad,2,0,0
44.0,1100,0,0,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,0,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,1,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,0,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,0,0,1,0,1,Hyderabad,2,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
44.0,1100,0,0,0,1,0,1,Hyderabad,2,0,0
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
78.5,1165,0,1,1,1,1,1,Hyderabad,2,1,1
44.0,1100,0,0,0,0,0,1,Hyderabad,2,0,1
100.0,1535,0,1,1,1,1,1,Hyderabad,3,1,1
44.0,1110,0,0,0,1,0,1,Hyderabad,2,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
99.0,2240,0,1,1,1,0,1,Hyderabad,3,1,1
65.0,1278,0,1,0,0,0,1,Hyderabad,2,0,1
75.0,1406,0,0,0,0,0,1,Hyderabad,3,0,0
65.0,1190,0,1,1,1,0,1,Hyderabad,2,0,1
53.0,1215,0,0,0,0,0,1,Hyderabad,2,0,0
46.4,1105,0,0,0,0,0,1,Hyderabad,2,0,1
86.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
107.0,1770,0,1,1,1,1,1,Hyderabad,3,1,1
48.4,1210,0,1,0,1,0,1,Hyderabad,2,0,1
45.4,1010,0,0,0,0,0,0,Hyderabad,2,0,0
81.0,1620,0,0,0,0,0,1,Hyderabad,3,0,1
69.3,1555,0,1,1,0,0,1,Hyderabad,3,0,1
71.0,1190,0,0,0,0,0,1,Hyderabad,2,0,1
111.0,1730,0,0,0,0,0,1,Hyderabad,3,0,1
72.4,1165,0,1,1,1,1,1,Hyderabad,2,1,1
100.0,1670,0,0,0,0,0,1,Hyderabad,3,0,0
130.0,1350,0,1,1,1,1,1,Hyderabad,3,1,1
430.0,4780,0,1,0,0,0,0,Hyderabad,4,0,0
89.0,1836,0,0,0,0,0,1,Hyderabad,3,0,0
150.0,1970,0,0,0,0,0,0,Hyderabad,3,0,0
150.0,1970,0,0,0,0,0,0,Hyderabad,3,0,0
120.0,2000,1,1,1,1,1,1,Hyderabad,3,1,1
120.0,2000,1,1,1,1,1,1,Hyderabad,3,1,1
120.0,2000,1,1,1,1,1,1,Hyderabad,3,1,1
120.0,2000,1,1,1,1,1,1,Hyderabad,3,1,1
120.0,2000,1,1,1,1,1,1,Hyderabad,3,1,1
120.0,2000,1,1,1,1,1,1,Hyderabad,3,1,1
77.4,1210,0,1,1,1,1,1,Hyderabad,2,1,1
97.6,1535,0,1,1,1,1,1,Hyderabad,3,1,1
85.0,1315,0,1,1,1,1,1,Hyderabad,2,1,1
25.0,680,0,0,0,0,0,0,Hyderabad,1,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
82.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
108.0,1735,0,1,1,1,0,1,Hyderabad,3,0,1
275.0,2500,0,0,0,0,0,0,Hyderabad,3,0,0
350.0,3959,0,1,1,1,0,1,Hyderabad,4,0,1
98.2,1889,0,1,1,0,1,1,Hyderabad,3,1,1
300.0,4500,0,0,0,0,0,0,Hyderabad,4,0,0
275.0,2500,0,0,0,0,0,0,Hyderabad,3,0,0
48.8,1220,0,1,0,1,0,1,Hyderabad,2,0,1
99.8,1920,0,0,0,0,0,0,Hyderabad,3,0,0
250.0,2700,0,0,0,0,0,0,Hyderabad,4,0,0
54.0,1300,0,0,0,0,0,0,Hyderabad,3,0,0
150.0,2100,0,0,0,0,0,1,Hyderabad,3,0,0
99.8,1920,0,1,1,1,0,1,Hyderabad,3,0,1
100.0,1925,0,1,1,1,0,1,Hyderabad,3,0,1
118.0,1885,0,1,1,1,1,1,Hyderabad,2,1,1
45.4,1010,0,1,1,0,0,1,Hyderabad,2,0,1
109.0,1695,0,0,0,0,0,1,Hyderabad,3,0,1
71.0,1090,0,0,0,0,0,1,Hyderabad,2,0,1
460.0,3100,0,0,1,1,0,1,Hyderabad,3,0,0
198.0,2200,0,0,0,0,0,1,Hyderabad,3,0,0
76.0,1521,0,0,0,0,0,1,Hyderabad,3,0,0
180.0,2490,0,1,1,1,0,1,Hyderabad,3,0,1
123.0,1675,1,1,1,1,1,1,Hyderabad,3,1,1
123.0,1675,1,1,1,1,1,1,Hyderabad,3,1,1
55.0,1260,0,0,0,0,0,0,Hyderabad,2,0,0
37.0,1105,0,0,0,0,0,0,Hyderabad,2,0,0
123.0,1675,1,1,1,1,1,1,Hyderabad,3,1,1
123.0,1675,1,1,1,1,1,1,Hyderabad,3,1,1
123.0,1675,1,1,1,1,1,1,Hyderabad,3,1,1
123.0,1675,1,1,1,1,1,1,Hyderabad,3,1,1
48.5,1200,0,0,0,0,0,0,Hyderabad,2,0,0
48.5,1200,0,0,0,0,0,0,Hyderabad,2,0,0
48.5,1200,0,0,0,0,0,0,Hyderabad,2,0,0
48.5,1200,0,0,0,0,0,0,Hyderabad,2,0,0
48.5,1200,0,0,0,0,0,0,Hyderabad,2,0,0
45.0,900,0,0,0,0,0,0,Hyderabad,2,0,0
76.0,1710,0,0,0,0,0,0,Hyderabad,3,0,0
86.0,1242,0,0,0,0,0,1,Hyderabad,3,0,1
75.0,1705,0,0,0,0,0,0,Hyderabad,3,0,0
52.0,1050,0,0,0,0,0,0,Hyderabad,2,0,0
57.0,1225,0,0,0,0,0,1,Hyderabad,3,0,0
69.3,1555,0,1,1,0,0,1,Hyderabad,3,0,1
108.0,1675,0,0,0,0,0,1,Hyderabad,3,0,1
109.0,1695,0,0,0,0,0,1,Hyderabad,3,0,1
130.0,1945,0,1,1,1,0,0,Hyderabad,3,1,1
36.5,1000,0,1,0,0,0,1,Hyderabad,2,0,0
86.2,1150,0,0,0,0,0,1,Hyderabad,2,0,0
75.0,1330,0,0,0,0,0,1,Hyderabad,3,0,0
200.0,2250,0,0,0,0,0,0,Hyderabad,3,0,0
100.0,2240,0,0,0,0,0,0,Hyderabad,3,0,0
450.0,4500,0,1,1,1,1,1,Hyderabad,4,1,1
450.0,4500,0,1,1,1,1,1,Hyderabad,4,1,1
450.0,4500,0,1,1,1,1,1,Hyderabad,4,1,1
33.0,800,0,0,0,0,0,0,Hyderabad,2,0,0
33.0,800,0,0,0,0,0,0,Hyderabad,2,0,0
33.0,800,0,0,0,0,0,0,Hyderabad,2,0,0
33.0,800,0,0,0,0,0,0,Hyderabad,2,0,0
56.4,1150,0,0,0,0,0,1,Hyderabad,2,0,0
129.0,1840,0,1,1,1,0,1,Hyderabad,3,0,1
78.0,1560,0,0,0,0,0,1,Hyderabad,3,0,0
63.0,1300,0,0,0,0,0,1,Hyderabad,2,0,0
280.0,3200,0,1,1,1,0,1,Hyderabad,4,0,1
300.0,2950,0,1,0,0,0,1,Hyderabad,3,0,0
300.0,2950,0,0,0,0,0,0,Hyderabad,3,0,0
125.0,1699,0,1,1,1,0,1,Hyderabad,4,0,1
65.8,1254,0,0,0,1,1,1,Hyderabad,2,1,0
89.8,1710,0,0,0,1,1,1,Hyderabad,3,1,0
355.0,4067,0,1,1,1,1,1,Hyderabad,4,1,1
75.0,1320,0,1,1,1,0,1,Hyderabad,2,1,1
70.0,1605,0,0,0,0,0,1,Hyderabad,3,0,1
145.0,2120,0,0,0,0,0,1,Hyderabad,3,0,0
135.0,1860,0,1,1,1,1,1,Hyderabad,3,1,1
135.0,1860,0,1,1,1,0,1,Hyderabad,3,0,1
27.0,1050,0,0,0,0,0,1,Hyderabad,2,0,0
89.9,1550,0,0,0,0,0,1,Hyderabad,3,0,0
275.0,3090,0,1,1,1,1,1,Hyderabad,4,1,1
664.0,6718,0,1,1,1,1,1,Hyderabad,5,1,1
75.0,1195,0,1,1,1,1,1,Hyderabad,2,1,1
57.0,1230,0,0,0,0,0,0,Hyderabad,3,0,0
330.0,2956,0,0,0,0,0,0,Hyderabad,4,0,0
330.0,2956,0,0,0,0,0,0,Hyderabad,4,0,0
55.0,1076,0,0,0,0,0,1,Hyderabad,2,0,1
35.8,842,0,1,1,1,0,1,Hyderabad,2,0,1
78.0,1200,0,0,0,0,0,0,Hyderabad,2,0,0
520.0,4500,0,0,0,0,0,0,Hyderabad,4,0,0
520.0,4500,0,0,0,0,0,0,Hyderabad,4,0,0
400.0,3600,0,0,0,0,0,0,Hyderabad,4,0,0
400.0,3600,0,0,0,0,0,0,Hyderabad,4,0,0
367.0,3500,0,0,0,0,0,0,Hyderabad,3,0,0
367.0,3500,0,1,1,1,0,1,Hyderabad,3,0,1
86.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
90.0,1150,0,0,0,0,0,0,Hyderabad,2,0,0
90.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
98.8,1245,0,1,1,1,1,1,Hyderabad,2,1,1
130.0,1600,0,1,1,1,1,1,Hyderabad,3,1,1
188.0,2270,0,1,1,1,1,1,Hyderabad,3,1,1
60.0,1200,0,1,0,0,1,1,Hyderabad,2,0,1
70.0,1418,0,0,0,0,0,1,Hyderabad,3,0,1
99.8,1920,0,1,1,1,0,1,Hyderabad,3,0,1
100.0,1925,0,1,1,1,0,1,Hyderabad,3,0,1
99.1,1905,0,1,1,1,0,1,Hyderabad,3,0,1
55.0,850,0,0,0,0,0,1,Hyderabad,2,0,0
80.0,1940,0,0,0,0,0,0,Hyderabad,3,0,0
86.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
111.0,1730,0,0,0,0,0,0,Hyderabad,3,0,0
111.0,1730,0,0,0,0,0,1,Hyderabad,3,0,1
42.0,1050,0,0,0,0,0,1,Hyderabad,2,0,0
42.0,1050,0,0,0,0,0,0,Hyderabad,2,0,0
145.0,1908,0,1,1,1,0,1,Hyderabad,3,0,1
71.0,1090,0,0,0,0,0,1,Hyderabad,2,0,1
89.5,1905,0,1,1,1,0,1,Hyderabad,3,1,1
78.7,1675,0,1,1,1,0,1,Hyderabad,3,1,1
75.9,1615,0,1,1,1,0,1,Hyderabad,3,1,1
54.5,1160,0,1,1,1,0,1,Hyderabad,2,1,1
84.6,1800,0,1,1,1,0,1,Hyderabad,3,1,1
56.4,1200,0,1,1,1,0,1,Hyderabad,2,1,1
45.0,908,0,0,0,0,0,0,Hyderabad,2,0,0
48.3,1100,0,0,0,0,0,0,Hyderabad,2,0,0
49.0,1380,0,0,0,0,0,0,Hyderabad,2,0,0
60.0,970,0,0,0,1,0,1,Hyderabad,2,0,0
45.0,1160,0,0,0,0,0,0,Hyderabad,2,0,0
43.0,840,0,0,0,0,0,0,Hyderabad,2,0,0
47.5,1100,0,0,0,0,0,0,Hyderabad,2,0,0
